recipe_id,ingredient,quantity,unit_of_measure,preparation_technique,alternate_ingredient,alternate_quantity
69,fontina cheese,250,gr,diced (size: 1cm),,
69,nutmeg,0.25,small spoon,,,
69,salt,0.25,small spoon,,,
69,salt,1,spoon,,,
69,whole milk,750,ml,,,
69,zucchini,12,unit,,,
70,beef meat,1,kg,diced (size: 2cm),,
70,chili powder,0.5,small spoon,,,
70,corn oil,3,spoon,,,
70,maggi,2,cube,,,
70,melon seed,2,package,,,
70,onion,1,unit,thin chopped,,
70,onion,0.5,unit,thin chopped,,
70,palm oil,100,ml,,,
70,salt,0.25,small spoon,,,
70,salt,0.5,small spoon,,,
70,semolina flour,1,kg,,,
70,spinach,50,gr,cut (size: 1 cm),,
70,water,500,ml,,,
70,water,3,spoon,,,
70,water,1,lt,,,
71,bell pepper,500,gr,split in 8 pieces,,
71,ground black pepper,0.5,small spoon,,,
71,chicken breast,500,gr,washed; cut (size: 7-8 cm),,
71,chicken thigh,500,gr,washed; cut (size: 7-8 cm),,
71,corn oil,4,spoon,,,
71,eggplant,500,gr,sliced,,
71,garlic,3,clove,thin chopped,,
71,onion,1,kg,thin chopped,,
71,salt,2,spoon,,,
72,basmati rice,1,kg,,,
72,black-eyed pea,1,kg,,,
72,concentrated tomato paste,400,ml,,,
72,corn oil,1,lt,,,
72,egg,6,unit,hard-boiled,,
72,extra-virgin olive oil,300,ml,,,
72,flour,250,gr,,,
72,fresh habanero chili,1,unit,,,
72,garlic,7,clove,,,
72,ginger root,150,gr,cut (size: 1 cm),,
72,lettuce,1,unit,,,
72,maggi,4,cube,,,
72,onion,1,kg,,,
72,red mullet,1,kg,,,
72,salt,1,small spoon,,,
72,sardine,1,kg,,,
72,tomato,1,kg,,,
73,baby chard,750,gr,washed,,
73,ground black pepper,0.5,small spoon,,,
73,corn oil,150,ml,,,
73,extra-virgin olive oil,100,ml,,,
73,flour,1,kg,,,
73,garlic,2,clove,thin chopped,,
73,instant yeast,1,small spoon,,baking soda,
73,salt,2,small spoon,,,
73,salt,1,small spoon,,,
73,spinach,750,gr,washed,,
73,water,400,ml,warm,,
74,breadcrumb,250,gr,,,
74,butter,2,small spoon,,,
74,egg,6,unit,,,
74,extra-virgin olive oil,100,ml,,,
74,flour,125,gr,,,
74,garlic,1,clove,thin chopped,,
74,lemon peel,0.5,unit,grated,,
74,mushroom,1,kg,diced (size: small),,
74,nutmeg,0.5,small spoon,,,
74,parmesan cheese,250,gr,grated,,
74,parsley,2,spoon,,,
74,ground black pepper,0.25,small spoon,,,
74,salt,1,small spoon,,,
74,vegetable broth,3,lt,,vegetable stock powder,
75,basil leaf,6,unit,,,
75,eggplant,4,unit,,,
75,extra-virgin olive oil,200,ml,,,
75,garlic,2,clove,thin chopped,,
75,mozzarella cheese,250,gr,thin sliced,,
75,parmesan cheese,6,spoon,grated,,
75,salt,1,small spoon,,,
75,tomato sauce,700,ml,,,
76,basil leaf,6,unit,cut in pieces,,
76,extra-virgin olive oil,150,ml,,,
76,fresh oregano,6,spring,leaves removed from stem,,
76,fresh thyme,6,spring,leaves removed from stem,,
76,garlic,2,clove,thin chopped,,
76,onion,2,unit,cut in long stripes,,
76,red bell pepper,3,unit,cut in long stripes,,
76,salt,1,small spoon,,,
76,tomato sauce in cubes,400,ml,,,
76,yellow bell pepper,3,unit,cut in long stripes,,
77,cherry sirup,1,bottle,,rosolio liqueur,
77,egg yolk,8,unit,,,
77,flour,100,gr,,,
77,half peach,80,unit,,,
77,sugar,200,gr,,,
77,whole milk,1,lt,,,
78,anise for dessert,2,spoon,,,
78,butter,180,gr,,,
78,egg,3,unit,,,
78,flour,500,gr,,,
78,sugar,180,gr,,,
78,vanillin,1,small bag,,,
78,whole milk,150,ml,,,
78,yeast for dessert,1.5,small bag,,,
79,deer meat,1,kg,diced,,
79,garlic,3,clove,thin chopped,,
79,onion,1,unit,chopped,,
79,tomato sauce,0.5,can,,,
79,ground black pepper,1.5,small spoon,,,
79,ground cinnamon,1,small spoon,,,
79,parsley,3,spoon,chopped,,
79,okra,500,gr,,,
79,salt,,,,,
79,extra-virgin olive oil,1.5,glass,,,
79,red wine,1.5,glass,,,
79,white vinegar,1,spoon,,,
80,pastry,1,sheet,,,
80,apple,1,unit,,,
80,honey,,,,,
80,butter,,,,,
80,pear,1,unit,,,
80,pumpkin seed,20,gr,,,
80,hard cheese,50,gr,,,
80,egg,1,unit,,,
81,pastry,1,sheet,,,
81,apple,1,unit,,,
81,honey,,,,,
81,butter,,,,,
81,white onion,1,unit,,,
81,red radish,1,unit,,,
81,speck,50,gr,,,
81,walnut,3,unit,,,
81,raisin,25,gr,,,
81,coconut milk,25,ml,,,
81,grappa,30,ml,,,
82,orange,6,unit,,,
82,lemon,2,unit,,,
82,lime,2,unit,,,
82,savoiardi biscuit,300,gr,,,
82,robiola cheese,100,gr,,,
82,white yogurt,100,gr,,,
82,apple,2,unit,,,
82,pear,1,unit,,,
82,ground cinnamon,1,small spoon,,,
82,brown sugar,1,spoon,,,
82,fresh mint,1,spoon,,,
82,banana,2,unit,,,
82,walnut,1,spoon,,,
83,bell pepper,8,unit,,,
83,rice,1,glass,,,
83,onion,2,unit,,,
83,parsley,1,glass,chopped,,
83,aneto,1,glass,chopped,,
83,tomato,2,unit,diced,,
83,extra-virgin olive oil,0.5,glass,,,
83,tomato paste,1,spoon,,,
83,turkish pepper paste,1,spoon,,,
83,lemon peel,1,unit,,,
83,sugar,,,,,
83,water,,,,,
83,ground black pepper,1,small spoon,,,
83,salt,1,small spoon,,,
83,sumak,1,small spoon,,,
83,allspice,1,small spoon,,,
83,crushed chillies,1,small spoon,,,
83,ground cinnamon,1,small spoon,,,
83,ground cumin,1,small spoon,,,
84,beetroot,4,unit,,,
84,carrot,0.5,kg,,,
84,sweet potato,1,unit,,parsley root,
84,potato,3,unit,,,
84,red onion,2,unit,,,
84,cinnamon stick,3,unit,,,
84,star anise,3,unit,,,
84,garlic,3,clove,,,
84,honey,3,spoon,,,
85,flour,400,gr,,,
85,egg,4,unit,,,
85,salt,,,,,
85,extra-virgin olive oil,1,small spoon,,,
85,beef meat,400,gr,,,
85,chicken,100,gr,,,
85,celery root,1,unit,,,
85,cherry tomato,10,unit,,,
85,carrot,1,unit,,,
85,onion,1,unit,,,
85,salt,,,,,
85,feta cheese,100,gr,,,
85,greek pecorino cheese,100,gr,,,
85,greek ricotta cheese,100,gr,,,
85,lemon peel,1,unit,,,
85,nutmeg,0.5,small spoon,,,
85,egg yolk,1,unit,,,
86,eggplant,1,unit,,,
86,butter,100,gr,,,
86,flavour,1,spoon,,,
86,whole milk,0.5,lt,,,
86,cheddar cheese,90,gr,,,
87,potato,1,kg,boiled; peeled; smashed,,
87,flour,300,gr,,,
87,egg,1,unit,,,
87,salt,1,spoon,,,
87,butter,40,gr,,,
87,gorgonzola cheese,80,gr,,greek kefalotiri cheese,
87,parmesan cheese,80,gr,,greek graviera cheese,
87,ground black pepper,1,small spoon,,,
88,lamb meat,2,kg,cut in pieces,,
88,potato,1,kg,peeled; split in halves,,
88,lemon,5,unit,,,
88,salt,,,,,
88,ground black pepper,,,,,
88,dry oregano,,,,,
88,dry rosemary,,,,,
88,extra-virgin olive oil,1,glass,,,
89,eggplant,2,kg,sliced lengthwise; 1cm thick,,
89,onion,2,unit,sliced lengthwise; 1cm thick,,
89,tomato sauce,500,gr,,,
89,feta cheese,500,gr,crumbled,,
89,fresh mint,25,gr,thin chopped,,
89,parsley,50,gr,thin chopped,,
89,fresh oregano,25,gr,,dry oregano,
89,salt,0.5,small spoon,,,
89,ground black pepper,0.5,small spoon,,,
89,extra-virgin olive oil,500,ml,,,
90,sugar,1,glass,,,
90,white wine,1,glass,,sweet wine,
90,corn oil,1,glass,,,
90,anise for dessert,1,spoon,,,
90,flour,500,gr,,,
91,greek yogurt,250,gr,,,
91,egg,3,unit,,,
91,sunflower oil,0.5,glass,,,
91,orange juice,0.5,glass,,,
91,orange peel,1.5,unit,,,
91,sugar,1,glass,,,
91,baking soda,20,gr,,,
91,salt,0.5,small spoon,,,
91,phyllo pastry,500,gr,,,
91,water,1.5,glass,,,
91,sugar,1,glass,,,
91,dark chocolate,1,bar,,,
92,rice,400,gr,,,
92,Teroldego red wine,0.5,lt,,,
92,onion,1,unit,,,
92,vegetable broth,1,lt,,meat broth,
92,grana trentino cheese,30,gr,,,
92,butter,50,gr,,,
92,extra-virgin olive oil,100,ml,,,
92,salt,1.5,small spoon,,,
93,white/kamut flour,250,gr,,,
93,whole wheat flour,250,gr,,,
93,water,400,ml,,,
93,salt,0.5,small spoon,,,
93,onion,2,unit,thin chopped,,
93,parsley,50,gr,thin chopped,,
93,cokelec turkish cheese,200,gr,,feta cheese,
93,urfa peyniri turkish cheese,200,gr,,pecorino cheese,
93,crushed chillies,1,small spoon,,,
93,extra-virgin olive oil,150,ml,,,
94,chicken thigh,3,unit,,,
94,black-eyed pea,1,glass,soaked for 12 hours,,
94,butter,2,spoon,,,
94,extra-virgin olive oil,2,spoon,,,
94,tarhana,0.5,glass,,,
94,dry bell pepper,5,unit,,,
94,garlic,4,clove,cut in pieces,,
94,concentrated tomato paste,0.5,spoon,,,
94,salt,0.5,spoon,,,
95,beef meat,10,escalope,split in two,,
95,bacon,20,slice,,,
95,sage,20,leaf,,,
95,white wine,0.5,glass,,,
95,meat broth,,,,vegetable broth,
95,salt,,,,,
95,ground black pepper,,,,,
95,extra-virgin olive oil,,,, ,
